"module name","license","repository"
"@angular-builders/custom-webpack@9.1.0","MIT","https://github.com/just-jeb/angular-builders/tree/master/packages/custom-webpack"
"@angular-builders/jest@9.0.1","MIT","https://github.com/just-jeb/angular-builders/tree/master/packages/jest"
"@angular-devkit/architect@0.901.3","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/architect@0.901.6","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-angular@0.901.6","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-optimizer@0.901.6","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-webpack@0.901.6","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@9.1.3","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@9.1.6","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@9.1.6","MIT","https://github.com/angular/angular-cli"
"@angular-material-extensions/password-strength@6.0.0","MIT","https://github.com/angular-material-extensions/password-strength"
"@angular/animations@9.1.9","MIT","https://github.com/angular/angular"
"@angular/cdk@9.2.4","MIT","https://github.com/angular/components"
"@angular/cli@9.1.6","MIT","https://github.com/angular/angular-cli"
"@angular/common@9.1.9","MIT","https://github.com/angular/angular"
"@angular/compiler-cli@9.1.9","MIT","https://github.com/angular/angular"
"@angular/compiler@9.1.9","MIT","https://github.com/angular/angular"
"@angular/core@9.1.9","MIT","https://github.com/angular/angular"
"@angular/flex-layout@9.0.0-beta.31","MIT","https://github.com/angular/flex-layout"
"@angular/forms@9.1.9","MIT","https://github.com/angular/angular"
"@angular/language-service@9.1.9","MIT","https://github.com/angular/angular"
"@angular/material@9.2.4","MIT","https://github.com/angular/components"
"@angular/platform-browser-dynamic@9.1.9","MIT","https://github.com/angular/angular"
"@angular/platform-browser@9.1.9","MIT","https://github.com/angular/angular"
"@angular/router@9.1.9","MIT","https://github.com/angular/angular"
"@babel/code-frame@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"@babel/compat-data@7.9.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-compat-data"
